rs,election_id,ps_id,votes_eligible,voters,invalid_ballots,valid_ballots,votes_cast,turnout
81110000000,2241,57517,868,230,4,226,12980,26.5
81110000000,2241,57518,1905,554,17,537,29369,29.1
81110000000,2241,57519,1857,586,12,574,32715,31.6
81110000000,2241,57520,1778,551,18,533,29822,31
81110000000,2241,57521,1861,582,13,569,32064,31.3
81110000000,2241,57522,1835,448,12,436,24591,24.4
81110000000,2241,57523,1723,540,14,526,29182,31.3
81110000000,2241,57524,1846,514,20,494,27903,27.8
81110000000,2241,57525,1631,289,9,280,14888,17.7
81110000000,2241,57526,1685,465,15,450,24682,27.6
81110000000,2241,57527,1601,580,17,563,31590,36.2
81110000000,2241,57528,1673,408,9,399,21272,24.4
81110000000,2241,57529,1766,470,11,459,24887,26.6
81110000000,2241,57530,1785,422,16,406,21348,23.6
81110000000,2241,57531,1604,549,13,536,29991,34.2
81110000000,2241,57532,1558,606,11,595,34162,38.9
81110000000,2241,57533,1671,471,5,466,26014,28.2
81110000000,2241,57534,1698,564,7,557,31379,33.2
81110000000,2241,57535,1580,576,12,564,31765,36.5
81110000000,2241,57536,1645,528,8,520,29253,32.1
81110000000,2241,57537,1465,541,8,533,30159,36.9
81110000000,2241,91956,1487,342,16,326,16014,23
81110000000,2241,57538,2003,625,16,609,33606,31.2
81110000000,2241,57539,2281,574,16,558,29506,25.2
81110000000,2241,57540,1997,518,8,510,26463,25.9
81110000000,2241,57541,2044,636,17,619,33707,31.1
81110000000,2241,57542,1705,549,15,534,29695,32.2
81110000000,2241,57543,1722,567,13,554,31192,32.9
81110000000,2241,57544,580,249,5,244,13705,42.9
81110000000,2241,57545,1760,525,7,518,29035,29.8
81110000000,2241,57546,1524,643,21,622,35244,42.2
81110000000,2241,57547,1855,636,20,616,33486,34.3
81110000000,2241,57548,2014,552,14,538,29113,27.4
81110000000,2241,57549,2067,598,14,584,30319,28.9
81110000000,2241,57550,1471,559,9,550,30353,38
81110000000,2241,57551,2032,556,15,541,29531,27.4
81110000000,2241,57552,1884,521,17,504,26915,27.7
81110000000,2241,57553,1696,481,17,464,25266,28.4
81110000000,2241,57554,2000,590,13,577,31427,29.5
81110000000,2241,57555,1889,558,19,539,30171,29.5
81110000000,2241,57556,2074,624,14,610,32364,30.1
81110000000,2241,57557,1483,440,14,426,23565,29.7
81110000000,2241,57558,1323,445,14,431,24668,33.6
81110000000,2241,57559,1604,521,13,508,28857,32.5
81110000000,2241,57560,1684,565,11,554,30937,33.6
81110000000,2241,57561,1643,420,12,408,22869,25.6
81110000000,2241,57562,1474,567,11,556,31043,38.5
81110000000,2241,57563,1714,655,19,636,35877,38.2
81110000000,2241,57564,1727,580,13,567,32050,33.6
81110000000,2241,57565,1861,567,29,538,29879,30.5
81110000000,2241,57566,1873,520,16,504,28347,27.8
81110000000,2241,57567,1746,585,16,569,30610,33.5
81110000000,2241,57568,1602,514,11,503,27782,32.1
81110000000,2241,57569,1868,562,15,547,30235,30.1
81110000000,2241,57570,1480,456,9,447,25335,30.8
81110000000,2241,57571,1365,339,10,329,18108,24.8
81110000000,2241,57572,1715,499,7,492,27654,29.1
81110000000,2241,57573,1447,580,16,564,31861,40.1
81110000000,2241,57574,1434,596,14,582,32788,41.6
81110000000,2241,57575,1507,554,10,544,30351,36.8
81110000000,2241,91958,1619,492,18,474,25979,30.4
81110000000,2241,57576,1542,639,12,627,35724,41.4
81110000000,2241,57577,1549,537,6,531,30140,34.7
81110000000,2241,57578,1796,620,18,602,32946,34.5
81110000000,2241,57579,1719,518,15,503,27842,30.1
81110000000,2241,57580,1184,359,7,352,19759,30.3
81110000000,2241,57581,1372,388,8,380,20954,28.3
81110000000,2241,57582,1564,613,16,597,33626,39.2
81110000000,2241,57583,1823,556,14,542,29724,30.5
81110000000,2241,57584,1605,563,8,555,31161,35.1
81110000000,2241,57585,1314,437,7,430,23321,33.3
81110000000,2241,57586,1447,467,9,458,25193,32.3
81110000000,2241,57587,1518,506,7,499,27744,33.3
81110000000,2241,57588,1746,542,11,531,29318,31
81110000000,2241,57589,1730,509,13,496,28218,29.4
81110000000,2241,57590,1617,504,14,490,26989,31.2
81110000000,2241,57591,1708,623,13,610,34111,36.5
81110000000,2241,57592,1359,423,8,415,22771,31.1
81110000000,2241,57593,1661,511,10,501,28087,30.8
81110000000,2241,57594,1668,600,17,583,32479,36
81110000000,2241,57595,1646,625,14,611,34853,38
81110000000,2241,57596,1635,594,17,577,32307,36.3
81110000000,2241,57597,1757,614,10,604,33788,34.9
81110000000,2241,57598,1808,603,14,589,33470,33.4
81110000000,2241,57599,1752,493,14,479,26874,28.1
81110000000,2241,91960,1328,338,14,324,18320,25.5
81110000000,2241,57600,1221,475,13,462,24975,38.9
81110000000,2241,57601,1246,490,10,480,26323,39.3
81110000000,2241,57602,1689,509,8,501,27782,30.1
81110000000,2241,57603,2119,467,13,454,24919,22
81110000000,2241,57604,2034,539,18,521,28180,26.5
81110000000,2241,57605,1472,547,10,537,29762,37.2
81110000000,2241,57606,1507,453,18,435,24069,30.1
81110000000,2241,57607,1383,349,14,335,17875,25.2
81110000000,2241,57608,1554,550,16,534,28832,35.4
81110000000,2241,57609,1854,456,13,443,23458,24.6
81110000000,2241,57610,1556,604,14,590,32921,38.8
81110000000,2241,57611,1440,478,8,470,25441,33.2
81110000000,2241,57612,1275,404,12,392,20610,31.7
81110000000,2241,57613,1906,583,14,569,31683,30.6
81110000000,2241,57614,2108,657,16,641,35779,31.2
81110000000,2241,57615,1894,599,17,582,31604,31.6
81110000000,2241,57616,1649,696,8,688,38471,42.2
81110000000,2241,57617,1995,492,16,476,25420,24.7
81110000000,2241,57618,2062,546,15,531,28405,26.5
81110000000,2241,57619,2560,599,17,582,31105,23.4
81110000000,2241,57620,2428,503,17,486,25700,20.7
81110000000,2241,57621,1292,509,13,496,27723,39.4
81110000000,2241,57622,1147,340,8,332,17609,29.6
81110000000,2241,57623,1501,433,7,426,22310,28.8
81110000000,2241,57624,1782,706,32,674,34339,39.6
81110000000,2241,57625,2218,500,17,483,22914,22.5
81110000000,2241,57626,2243,515,16,499,25539,23
81110000000,2241,57627,1063,417,6,411,23301,39.2
81110000000,2241,57628,1645,550,17,533,27769,33.4
81110000000,2241,57629,1180,462,12,450,25399,39.2
81110000000,2241,57630,1215,389,7,382,21605,32
81110000000,2241,57631,1696,437,7,430,22624,25.8
81110000000,2241,57632,1769,610,13,597,32921,34.5
