election_id,election_name,votetype_id,votetype_description,date,rs,election_type
1423,Europawahl 2019 - Gemeinde Stetten am kalten Markt,0,NA,2019-05-26,84375007107,1
2056,Ortschaftsrat Glashütte - Glashütte,0,NA,2019-05-26,84375007107,8
2154,Kreistagswahl 2019 - Gemeinde Stetten am kalten Markt,0,NA,2019-05-26,84375007107,5
2055,Ortschaftsrat Storzingen - Storzingen,0,NA,2019-05-26,84375007107,8
2053,Gemeinderatswahl - Gemeinde Stetten am kalten Markt,0,NA,2019-05-26,84375007107,6
2054,Ortschaftsrat Frohnstetten - Frohnstetten,0,NA,2019-05-26,84375007107,8
468,Bundestagswahl 2021 - Gemeinde Stetten am kalten Markt,0,Erststimmen,2021-09-26,84375007107,2
468,Bundestagswahl 2021 - Gemeinde Stetten am kalten Markt,1,Zweitstimmen,2021-09-26,84375007107,2
670,Bürgermeisterwahl 2023 - Gemeinde Stetten am kalten Markt,0,NA,2023-01-29,84375007107,7
1763,Europawahl 2024 - Gemeinde Stetten am kalten Markt,0,NA,2024-06-09,84375007107,1
2033,Gemeinderat - Gemeinde Stetten am kalten Markt,0,NA,2024-06-09,84375007107,6
2034,Ortschaftsrat Frohnstetten - Frohnstetten,0,NA,2024-06-09,84375007107,8
2037,Ortschaftsrat Storzingen - Storzingen,0,NA,2024-06-09,84375007107,8
2036,Ortschaftsrat Glashütte - Glashütte,0,NA,2024-06-09,84375007107,8
2633,Kreistagswahl 2024 - Gemeinde Stetten am kalten Markt,0,NA,2024-06-09,84375007107,5
429,Bundestagswahl 2017 - Gemeinde Schwenningen,0,Erststimmen,2017-09-24,84375007102,2
429,Bundestagswahl 2017 - Gemeinde Schwenningen,1,Zweitstimmen,2017-09-24,84375007102,2
1423,Europawahl 2019 - Gemeinde Schwenningen,0,NA,2019-05-26,84375007102,1
2838,Gemeinderatswahl 2019 - Gemeinde Schwenningen,0,NA,2019-05-26,84375007102,6
2154,Kreistagswahl 2019 - Gemeinde Schwenningen,0,NA,2019-05-26,84375007102,5
172,Landtagswahl BW 2021 - Gemeinde Schwenningen,0,NA,2021-03-14,84375007102,3
468,Bundestagswahl 2021 - Gemeinde Schwenningen,0,Erststimmen,2021-09-26,84375007102,2
468,Bundestagswahl 2021 - Gemeinde Schwenningen,1,Zweitstimmen,2021-09-26,84375007102,2
2010,Bürgermeisterwahl Schwenningen - Gemeinde Schwenningen,0,NA,2024-02-04,84375007102,7
1763,Europawahl 2024 - Gemeinde Schwenningen,0,NA,2024-06-09,84375007102,1
2850,Gemeinderatswahl 2024 - Gemeinde Schwenningen,0,NA,2024-06-09,84375007102,6
2633,Kreistagswahl 2024 - Gemeinde Schwenningen,0,NA,2024-06-09,84375007102,5
1423,Europawahl 2019 - Gemeinde Sigmaringendorf,0,NA,2019-05-26,84375006105,1
2326,Gemeinderatswahl 2019 - Gemeinde Sigmaringendorf,0,NA,2019-05-26,84375006105,6
2154,Kreistagswahl 2019 - Gemeinde Sigmaringendorf,0,NA,2019-05-26,84375006105,5
468,Bundestagswahl 2021 - Gemeinde Sigmaringendorf,0,Erststimmen,2021-09-26,84375006105,2
468,Bundestagswahl 2021 - Gemeinde Sigmaringendorf,1,Zweitstimmen,2021-09-26,84375006105,2
1763,Europawahl 2024 - Gemeinde Sigmaringendorf,0,NA,2024-06-09,84375006105,1
7332,Gemeinderatswahl 2024 - Gemeinde Sigmaringendorf,0,NA,2024-06-09,84375006105,6
2633,Kreistagswahl 2024 - Gemeinde Sigmaringendorf,0,NA,2024-06-09,84375006105,5
429,Bundestagswahl 2017 - Stadt Sigmaringen,0,Erststimmen,2017-09-24,84375006104,2
429,Bundestagswahl 2017 - Stadt Sigmaringen,1,Zweitstimmen,2017-09-24,84375006104,2
1423,Europawahl 2019 - Stadt Sigmaringen,0,NA,2019-05-26,84375006104,1
3539,Gemeinderatswahl Sigmaringen 2019 - Stadt Sigmaringen,0,NA,2019-05-26,84375006104,6
3542,Ortschaftsratswahl Laiz 2019 - Laiz,0,NA,2019-05-26,84375006104,8
3544,Ortschaftsratswahl Jungnau 2019 - Jungnau,0,NA,2019-05-26,84375006104,8
3545,Ortschaftsratswahl Gutenstein 2019 - Gutenstein,0,NA,2019-05-26,84375006104,8
3546,Ortschaftsratswahl Oberschmeien 2019 - Oberschmeien,0,NA,2019-05-26,84375006104,8
3547,Ortschaftsratswahl Unterschmeien 2019 - Unterschmeien,0,NA,2019-05-26,84375006104,8
2154,Kreistagswahl 2019 - Stadt Sigmaringen,0,NA,2019-05-26,84375006104,5
468,Bundestagswahl 2021 - Stadt Sigmaringen,0,Erststimmen,2021-09-26,84375006104,2
468,Bundestagswahl 2021 - Stadt Sigmaringen,1,Zweitstimmen,2021-09-26,84375006104,2
1763,Europawahl 2024 - Stadt Sigmaringen,0,NA,2024-06-09,84375006104,1
6314,Gemeinderatswahl Sigmaringen 2024 - Stadt Sigmaringen,0,NA,2024-06-09,84375006104,6
6319,Ortschaftsratswahl Unterschmeien 2024 - Unterschmeien,0,NA,2024-06-09,84375006104,8
6315,Ortschaftsratswahl Laiz 2024 - Laiz,0,NA,2024-06-09,84375006104,8
6316,Ortschaftsratswahl Jungnau 2024 - Jungnau,0,NA,2024-06-09,84375006104,8
6317,Ortschaftsratswahl Gutenstein 2024 - Gutenstein,0,NA,2024-06-09,84375006104,8
6318,Ortschaftsratswahl Oberschmeien 2024 - Oberschmeien,0,NA,2024-06-09,84375006104,8
2633,Kreistagswahl 2024 - Stadt Sigmaringen,0,NA,2024-06-09,84375006104,5
429,Bundestagswahl 2017 - Gemeinde Krauchenwies,0,Erststimmen,2017-09-24,84375006065,2
429,Bundestagswahl 2017 - Gemeinde Krauchenwies,1,Zweitstimmen,2017-09-24,84375006065,2
1423,Europawahl 2019 - Gemeinde Krauchenwies,0,NA,2019-05-26,84375006065,1
2980,Ortschaftsratswahl Göggingen - Göggingen,0,NA,2019-05-26,84375006065,8
2978,Ortschaftsratswahl Ablach - Ablach,0,NA,2019-05-26,84375006065,8
2979,Ortschaftsratswahl Bittelschieß - Bittelschieß,0,NA,2019-05-26,84375006065,8
2977,Gemeinderatswahl - Gemeinde Krauchenwies,0,NA,2019-05-26,84375006065,6
2154,Kreistagswahl 2019 - Gemeinde Krauchenwies,0,NA,2019-05-26,84375006065,5
2981,Ortschaftsratswahl Hausen - Hausen,0,NA,2019-05-26,84375006065,8
468,Bundestagswahl 2021 - Gemeinde Krauchenwies,0,Erststimmen,2021-09-26,84375006065,2
468,Bundestagswahl 2021 - Gemeinde Krauchenwies,1,Zweitstimmen,2021-09-26,84375006065,2
1763,Europawahl 2024 - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,1
2296,Gemeinderatswahl - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,6
5418,Ortschaftsratswahl Bittelschieß - Bittelschieß,0,NA,2024-06-09,84375006065,8
5420,Ortschaftsratswahl Hausen - Hausen,0,NA,2024-06-09,84375006065,8
5419,Ortschaftsratswahl Göggingen - Göggingen,0,NA,2024-06-09,84375006065,8
2633,Kreistagswahl 2024 - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,5
5417,Ortschaftsratswahl Ablach - Ablach,0,NA,2024-06-09,84375006065,8
429,Bundestagswahl 2017 - Gemeinde Inzigkofen,0,Erststimmen,2017-09-24,84375006059,2
429,Bundestagswahl 2017 - Gemeinde Inzigkofen,1,Zweitstimmen,2017-09-24,84375006059,2
1423,Europawahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,1
6050,Gemeinderatswahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,6
2154,Kreistagswahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,5
468,Bundestagswahl 2021 - Gemeinde Inzigkofen,0,Erststimmen,2021-09-26,84375006059,2
468,Bundestagswahl 2021 - Gemeinde Inzigkofen,1,Zweitstimmen,2021-09-26,84375006059,2
1763,Europawahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,1
3704,Gemeinderatswahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,6
3707,Ortschaftsratswahl 2024 Vilsingen - Vilsingen,0,NA,2024-06-09,84375006059,8
3708,Ortschaftsratswahl 2024 Engelswies - Engelswies,0,NA,2024-06-09,84375006059,8
2633,Kreistagswahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,5
1423,Europawahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,1
5509,Gemeinderatswahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,6
2154,Kreistagswahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,5
468,Bundestagswahl 2021 - Gemeinde Bingen,0,Erststimmen,2021-09-26,84375006008,2
468,Bundestagswahl 2021 - Gemeinde Bingen,1,Zweitstimmen,2021-09-26,84375006008,2
3037,Bürgermeisterwahl - Gemeinde Bingen,0,NA,2024-01-21,84375006008,7
1763,Europawahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,1
5500,Gemeinderatswahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,6
2633,Kreistagswahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,5
1423,Europawahl 2019 - Gemeinde Beuron,0,NA,2019-05-26,84375006005,1
2154,Kreistagswahl 2019 - Gemeinde Beuron,0,NA,2019-05-26,84375006005,5
468,Bundestagswahl 2021 - Gemeinde Beuron,0,Erststimmen,2021-09-26,84375006005,2
468,Bundestagswahl 2021 - Gemeinde Beuron,1,Zweitstimmen,2021-09-26,84375006005,2
1763,Europawahl 2024 - Gemeinde Beuron,0,NA,2024-06-09,84375006005,1
2633,Kreistagswahl 2024 - Gemeinde Beuron,0,NA,2024-06-09,84375006005,5
1423,Europawahl 2019 - Stadt Bad Saulgau,0,NA,2019-05-26,84375005100,1
6105,Gemeinderatswahl 2019 - Stadt Bad Saulgau,0,NA,2019-05-26,84375005100,6
6110,Ortschaftsratswahl Friedberg - Friedberg,0,NA,2019-05-26,84375005100,8
6106,Ortschaftsratswahl Bierstetten - Bierstetten,0,NA,2019-05-26,84375005100,8
6107,Ortschaftsratswahl Bolstern - Bolstern,0,NA,2019-05-26,84375005100,8
6108,Ortschaftsratswahl Bondorf - Bondorf,0,NA,2019-05-26,84375005100,8
6109,Ortschaftsratswahl Braunenweiler - Braunenweiler,0,NA,2019-05-26,84375005100,8
6118,Ortschaftsratswahl Wolfartsweiler - Wolfartsweiler,0,NA,2019-05-26,84375005100,8
6111,Ortschaftsratswahl Fulgenstadt - Fulgenstadt,0,NA,2019-05-26,84375005100,8
