party_family_id,name_short,name_long,color
1,CDU,Christlich Demokratische Union Deutschlands,#32302e
2,CSU,Christlich Soziale Union Deutschlands,#32302e
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,#46962b
4,SPD,Sozialdemokratische Partei Deutschlands,#ff0000
5,AfD,Alternative für Deutschland,#009ee0
6,FDP,Freie Demokratische Partei,#ffed00
7,DIE LINKE,DIE LINKE,#9900cc
8,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",#b91023
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,#d2d2d2
10,ÖDP,Ökologisch-Demokratische Partei,#ff6604
11,Volt,Volt Deutschland,#502379
12,PIRATEN,Piratenpartei Deutschland,#ff8800
13,FAMILIE,Familien-Partei Deutschlands,#00ccff
14,MERA25,MERA 25 - Gemeinsam für Europäische Unabhängigkeit,#ec4422
15,Bündnis C,Bündnis C - Christen für Deutschland,#646464
16,TIERSCHUTZ hier!,Aktion Partei für Tierschutz,#45ad4c
17,BIG,Bündnis für Innovation & Gerechtigkeit,#646464
18,HEIMAT,Die Heimat,#d79e2a
19,PdH,Partei der Humanisten,#ee225a
20,Partei für schulmedizinische Verjüngungsforschung,Partei für schulmedizinische Verjüngungsforschung,#83db89
21,MENSCHLICHE WELT," Menschliche Welt - für das Wohl und Glücklichsein aller",#ee6600
22,MLPD,Marxistisch-Leninistische Partei Deutschlands,#ff0000
23,DKP,Deutsche Kommunistische Partei Deutschlands,#ff0000
24,SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",#b70000
25,ABG,Aktion Bürger für Gerechtigkeit,#7e4081
26,dieBasis,Basisdemokratische Partei Deutschland,#00cdd8
27,BSW,Bündnis Sarah Wagenknecht - Vernunft und Gerechtigkeit,#a31e4a
28,DAVA,Demokratische Allianz für Vielfalt und Aufbruch,#0094a2
29,KLIMALISTE,Klimaliste Deutschland,#bedc0a
30,LETZTE GENERATION,Parlament aufmischen - Stimme der Letzten Generation,#fe4b01
31,PDV,Partei der Vernunft,#354edd
32,PdF,Partei des Fortschritts,#ffb27f
33,V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",#a5be00
34,Team Todenhöfer,Team Todenhöfer - Die Gerechtigkeitspartei,#d90d65
35,NPD,Nationaldemokratische Partei Deutschlands,
36,Gesundheitsforschung,Partei für Gesundheitsforschung,
37,BP,Bayernpartei,#00f7ff
38,SSW,Südschleswigscher Wählerverband,
39,Die Grauen,Die Grauen - Für alle Generationen,
40,du.,Die Urbane. Eine HipHop Partei,
41,Tierschutzalianz,"Allianz für Menschenrechte, Tier- und Naturschutz",
42,LIEBE,Europäische Partei LIEBE,
43,LKR,Liberal-Konservative Reformer,
44,LfK,">> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –",
45,III. Weg,DER DRITTE Weg,
46,Gartenpartei,Gartenpartei,
47,BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,
48,BÜNDNIS21,diePinken/BÜNDNIS21,
49,BüSo,Bürgerrechtsbewegung Solidarität,
50,FREIE WÄHLER,Freie Wähler,#f29204
51,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,#e72d71
