Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;
;;;;15.05.2022
DG;Deutschland;Personen;Anzahl;82719540
010010000000;Flensburg, Stadt;Personen;Anzahl;95015
010020000000;Kiel, Landeshauptstadt;Personen;Anzahl;249132
010030000000;Lübeck, Hansestadt;Personen;Anzahl;215958
010040000000;Neumünster, Stadt;Personen;Anzahl;79625
010510011011;Brunsbüttel, Stadt;Personen;Anzahl;12573
010510044044;Heide, Stadt;Personen;Anzahl;21487
010515163003;Averlak;Personen;Anzahl;568
010515163010;Brickeln;Personen;Anzahl;191
010515163012;Buchholz (Kreis Dithmarschen);Personen;Anzahl;1001
010515163016;Burg (Dithmarschen);Personen;Anzahl;4150
010515163022;Dingen;Personen;Anzahl;648
010515163024;Eddelak;Personen;Anzahl;1330
010515163026;Eggstedt;Personen;Anzahl;761
010515163032;Frestedt;Personen;Anzahl;337
010515163037;Großenrade;Personen;Anzahl;482
010515163051;Hochdonn;Personen;Anzahl;1124
010515163064;Kuden;Personen;Anzahl;622
010515163089;Quickborn;Personen;Anzahl;188
010515163097;Sankt Michaelisdonn;Personen;Anzahl;3539
010515163110;Süderhastedt;Personen;Anzahl;771
010515166021;Diekhusen-Fahrstedt;Personen;Anzahl;675
010515166034;Friedrichskoog;Personen;Anzahl;2403
010515166046;Helse;Personen;Anzahl;800
010515166057;Kaiser-Wilhelm-Koog;Personen;Anzahl;356
010515166062;Kronprinzenkoog;Personen;Anzahl;833
010515166072;Marne, Stadt;Personen;Anzahl;5766
010515166073;Marnerdeich;Personen;Anzahl;395
010515166076;Neufeld;Personen;Anzahl;613
010515166077;Neufelderkoog;Personen;Anzahl;116
010515166090;Ramhusen;Personen;Anzahl;160
010515166103;Schmedeswurth;Personen;Anzahl;174
010515166118;Trennewurth;Personen;Anzahl;229
010515166119;Volsemenhusen;Personen;Anzahl;328
010515169005;Barkenholm;Personen;Anzahl;177
010515169008;Bergewöhrden;Personen;Anzahl;35
010515169019;Dellstedt;Personen;Anzahl;718
010515169020;Delve;Personen;Anzahl;760
010515169023;Dörpling;Personen;Anzahl;637
010515169030;Fedderingen;Personen;Anzahl;265
010515169035;Gaushorn;Personen;Anzahl;175
010515169036;Glüsing;Personen;Anzahl;107
010515169038;Groven;Personen;Anzahl;90
010515169047;Hemme;Personen;Anzahl;499
010515169049;Hennstedt (Kreis Dithmarschen);Personen;Anzahl;2071
010515169052;Hövede;Personen;Anzahl;64
010515169053;Hollingstedt (Kreis Dithmarschen);Personen;Anzahl;304
010515169058;Karolinenkoog;Personen;Anzahl;132
010515169060;Kleve (Kreis Dithmarschen);Personen;Anzahl;413
010515169061;Krempel;Personen;Anzahl;600
010515169065;Lehe (Kreis Dithmarschen);Personen;Anzahl;1092
010515169068;Linden (Kreis Dithmarschen);Personen;Anzahl;874
010515169071;Lunden;Personen;Anzahl;1727
010515169080;Norderheistedt;Personen;Anzahl;131
010515169088;Pahlen;Personen;Anzahl;1171
010515169092;Rehm-Flehde-Bargen;Personen;Anzahl;539
010515169096;Sankt Annen;Personen;Anzahl;311
010515169100;Schalkholz;Personen;Anzahl;578
010515169102;Schlichting;Personen;Anzahl;243
010515169114;Tellingstedt;Personen;Anzahl;2673
010515169117;Tielenhemme;Personen;Anzahl;156
010515169120;Wallen;Personen;Anzahl;33
010515169125;Welmbüttel;Personen;Anzahl;406
010515169131;Westerborstel;Personen;Anzahl;117
010515169133;Wiemerstedt;Personen;Anzahl;152
010515169136;Wrohm;Personen;Anzahl;741
010515169139;Süderdorf;Personen;Anzahl;362
010515169141;Süderheistedt;Personen;Anzahl;548
010515172048;Hemmingstedt;Personen;Anzahl;2860
010515172067;Lieth;Personen;Anzahl;381
010515172069;Lohe-Rickelshof;Personen;Anzahl;2040
010515172075;Neuenkirchen (Kreis Dithmarschen);Personen;Anzahl;934
