rs,ags,name,population
81110000000,8111000,"Stuttgart, Landeshauptstadt",610458
81150003003,8115003,"Böblingen, Stadt",50705
81150028028,8115028,"Leonberg, Stadt",48337
81150029029,8115029,Magstadt,9580
81150041041,8115041,"Renningen, Stadt",18443
81150042042,8115042,"Rutesheim, Stadt",10936
81150044044,8115044,Schönaich,10339
81150045045,8115045,"Sindelfingen, Stadt",60545
81150050050,8115050,"Weil der Stadt, Stadt",19411
81150051051,8115051,Weil im Schönbuch,9720
81150052052,8115052,Weissach,7624
81155001001,8115001,Aidlingen,9151
81155001054,8115054,Grafenau,6670
81155002013,8115013,Ehningen,9124
81155002015,8115015,Gärtringen,12903
81155003010,8115010,Deckenpfronn,3269
81155003021,8115021,"Herrenberg, Stadt",33344
81155003037,8115037,Nufringen,5753
81155004002,8115002,Altdorf (Landkreis Böblingen),4547
81155004022,8115022,Hildrizhausen,3493
81155004024,8115024,"Holzgerlingen, Stadt",13822
81155005004,8115004,Bondorf,6197
81155005016,8115016,Gäufelden,8982
81155005034,8115034,Mötzingen,3711
81155005053,8115053,Jettingen,7981
81155006046,8115046,Steinenbronn,6433
81155006048,8115048,"Waldenbuch, Stadt",8630
81160015015,8116015,Denkendorf (Landkreis Esslingen),11001
81160019019,8116019,"Esslingen am Neckar, Stadt",94442
81160047047,8116047,Neuhausen auf den Fildern,12067
81160072072,8116072,"Wernau (Neckar), Stadt",11995
81160076076,8116076,Aichwald,7252
81160077077,8116077,"Filderstadt, Stadt",45821
81160078078,8116078,"Leinfelden-Echterdingen, Stadt",40774
81160080080,8116080,"Ostfildern, Stadt",39555
81160081081,8116081,"Aichtal, Stadt",9537
81165001016,8116016,Dettingen unter Teck,6064
81165001033,8116033,"Kirchheim unter Teck, Stadt",41676
81165001048,8116048,Notzingen,3572
81165002018,8116018,Erkenbrechtsweiler,2035
81165002054,8116054,"Owen, Stadt",3337
81165002079,8116079,Lenningen,8063
81165003005,8116005,Altdorf (Landkreis Esslingen),1684
81165003006,8116006,Altenriet,1955
81165003008,8116008,Bempflingen,3351
81165003041,8116041,Neckartailfingen,3769
81165003042,8116042,Neckartenzlingen,6107
81165003063,8116063,Schlaitdorf,1865
81165004011,8116011,Beuren (Landkreis Esslingen),3612
81165004036,8116036,Kohlberg,2344
81165004046,8116046,"Neuffen, Stadt",6024
81165005020,8116020,Frickenhausen,9202
81165005022,8116022,Großbettlingen,4248
81165005049,8116049,"Nürtingen, Stadt",40212
81165005050,8116050,Oberboihingen,5486
81165005068,8116068,Unterensingen,4908
81165005073,8116073,Wolfschlugen,6164
81165006004,8116004,Altbach,6052
81165006014,8116014,Deizisau,6673
81165006056,8116056,"Plochingen, Stadt",14178
81165007007,8116007,Baltmannsweiler,5516
81165007027,8116027,Hochdorf (Landkreis Esslingen),4647
81165007037,8116037,Lichtenwald,2559
81165007058,8116058,Reichenbach an der Fils,7873
81165008012,8116012,Bissingen an der Teck,3372
81165008029,8116029,Holzmaden,2276
81165008043,8116043,Neidlingen,1759
81165008053,8116053,Ohmden,1729
81165008070,8116070,"Weilheim an der Teck, Stadt",9779
81165009035,8116035,Köngen,9560
81165009071,8116071,"Wendlingen am Neckar, Stadt",15800
81170010010,8117010,Böhmenkirch,5537
81175001006,8117006,Bad Ditzenbach,3726
81175001014,8117014,Deggingen,5131
81175002018,8117018,"Ebersbach an der Fils, Stadt",15231
81175002044,8117044,Schlierbach,3834
81175003019,8117019,"Eislingen/Fils, Stadt",21972
81175003037,8117037,Ottenbach,2410
81175003042,8117042,Salach,7976
81175004007,8117007,Bad Überkingen,3839
81175004024,8117024,"Geislingen an der Steige, Stadt",26869
81175004033,8117033,Kuchen,5537
81175005026,8117026,"Göppingen, Stadt",57809
81175005043,8117043,Schlat,1668
81175005053,8117053,Wäschenbeuren,3912
81175005055,8117055,Wangen,3138
81175006015,8117015,"Donzdorf, Stadt",10531
81175006025,8117025,Gingen an der Fils,4408
81175006049,8117049,"Süßen, Stadt",10048
81175006061,8117061,"Lauterstein, Stadt",2505
81175007016,8117016,Drackenstein,459
81175007028,8117028,Gruibingen,2225
81175007031,8117031,Hohenstadt,863
81175007035,8117035,Mühlhausen im Täle,1088
81175007058,8117058,"Wiesensteig, Stadt",1976
81175008001,8117001,Adelberg,1972
81175008009,8117009,Birenbach,1889
81175008011,8117011,Börtlingen,1683
81175008038,8117038,Rechberghausen,5413
81175009002,8117002,Aichelberg,1315
81175009012,8117012,Bad Boll,5189
81175009017,8117017,Dürnau (Landkreis Göppingen),2169
81175009023,8117023,Gammelshausen,1464
81175009029,8117029,Hattenhofen (Landkreis Göppingen),2943
81175009060,8117060,Zell unter Aichelberg,3110
81175010003,8117003,Albershausen,4397
81175010051,8117051,"Uhingen, Stadt",14248
81175011020,8117020,Eschenbach,2137
81175011030,8117030,Heiningen (Landkreis Göppingen),4968
81180003003,8118003,"Asperg, Stadt",13141
81180011011,8118011,"Ditzingen, Stadt",22659
81180019019,8118019,"Gerlingen, Stadt",18657
81180021021,8118021,"Großbottwar, Stadt",7855
81180046046,8118046,"Kornwestheim, Stadt",33536
81180048048,8118048,"Ludwigsburg, Stadt",91810
81180050050,8118050,"Markgröningen, Stadt",14043
81180051051,8118051,Möglingen,10618
81180060060,8118060,Oberstenfeld,7534
81180076076,8118076,"Sachsenheim, Stadt",18303
81180080080,8118080,"Korntal-Münchingen, Stadt",18386
81180081081,8118081,"Remseck am Neckar, Stadt",26024
81185001007,8118007,"Besigheim, Stadt",12138
81185001016,8118016,Freudental,2392
81185001018,8118018,Gemmrigheim,4407
81185001028,8118028,Hessigheim,2482
81185001047,8118047,Löchgau,5632
81185001053,8118053,Mundelsheim,3457
81185001074,8118074,Walheim,3219
81185002071,8118071,Tamm,12168
81185002077,8118077,Ingersheim,6239
81185002079,8118079,"Bietigheim-Bissingen, Stadt",43328
81185003010,8118010,"Bönnigheim, Stadt",7919
81185003015,8118015,Erligheim,2839
81185003040,8118040,Kirchheim am Neckar,5828
81185004063,8118063,Pleidelsheim,6058
81185004078,8118078,"Freiberg am Neckar, Stadt",15434
81185005001,8118001,Affalterbach,4304
81185005006,8118006,Benningen am Neckar,6212
81185005014,8118014,Erdmannhausen,5193
81185005049,8118049,"Marbach am Neckar, Stadt",15429
81185006027,8118027,Hemmingen,7809
81185006067,8118067,Schwieberdingen,11141
81185007054,8118054,Murr,6498
81185007070,8118070,"Steinheim an der Murr, Stadt",11986
81185008012,8118012,Eberdingen,6698
81185008059,8118059,"Oberriexingen, Stadt",3265
81185008068,8118068,Sersheim,5359
81185008073,8118073,"Vaihingen an der Enz, Stadt",28576
81190001001,8119001,Alfdorf,7292
81190020020,8119020,"Fellbach, Stadt",46147
81190041041,8119041,Korb,11262
81190044044,8119044,"Murrhardt, Stadt",14360
81190061061,8119061,Rudersberg,11704
81190079079,8119079,"Waiblingen, Stadt",57280
81190089089,8119089,Berglen,6708
81190090090,8119090,Remshalden,14349
81190091091,8119091,"Weinstadt, Stadt",26807
81190093093,8119093,Kernen im Remstal,15761
81195001003,8119003,Allmersbach im Tal,5065
81195001004,8119004,Althütte,4290
81195001006,8119006,Auenwald,6804
81195001008,8119008,"Backnang, Stadt",38202
